ID,1M_BA,2M_BA,3M_BA,4M_BA,5M_BA,6M_BA,default payment in Jan 2022
X006576,11626,13038,14386,15532,15292,17135,0
X006577,1940,2481,0,531,0,3153,0
X006578,120493,100124,102340,104725,103157,94311,0
X006579,728,0,0,0,74637,0,0
X006580,50908,50799,19428,19225,19025,19329,1
X006581,20037,5381,18361,19638,19852,19467,0
X006582,213656,217371,217404,211100,219227,223532,1
X006583,172263,174110,177647,180230,183609,186607,1
X006584,230,2187,831,818,-575,1287,0
X006585,10436,12748,5029,13135,10771,7457,0
X006586,89266,101832,90661,22915,24987,0,0
X006587,25912,1895,22569,19407,16732,24110,0
X006588,286462,293796,296211,247,-52,143812,0
X006589,10167,8247,9792,14302,21360,9471,0
X006590,487,1538,2962,3171,4062,951,0
X006591,0,547,1333,1405,704,613,0
X006592,33263,31439,27303,-105,28924,29116,0
X006593,186651,130790,43908,38733,46786,28391,0
X006594,47931,49056,49308,45015,19490,18930,0
X006595,1243,882,895,477,2727,2545,0
X006596,84086,81538,80047,61370,60254,60398,0
X006597,13913,15395,15591,16027,17362,17513,0
X006598,81347,74692,78920,74333,77592,90012,0
X006599,47716,27020,24076,0,0,0,0
X006600,53435,53870,39554,45294,46731,47563,0
X006601,7703,7462,7141,8370,7852,7761,0
X006602,62473,32385,22585,10573,82892,52531,0
X006603,33808,26963,24383,23112,22256,20632,0
X006604,22119,23445,21518,8729,4321,0,0
X006605,17874,20560,19746,11874,1371,0,0
X006606,44062,45832,46605,47895,48961,49472,0
X006607,107251,110097,112239,114536,116980,112832,0
X006608,21674,21130,20386,19952,19943,7022,0
X006609,6036,7182,8129,8921,10191,9852,0
X006610,46096,82904,77710,52329,0,0,0
X006611,29745,28277,30888,21136,21871,13651,0
X006612,36523,38187,39291,40211,41524,42226,0
X006613,361,321,322,297,283,272,0
X006614,7229,8194,9533,10223,10359,10686,0
X006615,166113,137754,77695,162958,86040,88579,0
X006616,314,232,233,229,388,271,1
X006617,105960,67305,67464,28568,29345,26177,0
X006618,28334,30578,39589,43630,48517,17169,0
X006619,8824,40874,28363,31669,21245,11693,0
X006620,6224,0,2432,548,4781,0,0
X006621,608,3045,0,673,2621,355,0
X006622,36395,36798,28437,18535,16146,12369,0
X006623,63131,33946,33854,2934,1217,0,0
X006624,5953,5773,10470,11638,11158,14799,1
X006625,2666,3368,5928,7724,42748,33341,0
X006626,2898,4666,6993,7672,802,376,0
X006627,98545,82819,79900,73890,137412,132882,0
X006628,60570,60045,58496,58957,55136,58423,0
X006629,6734,7997,9680,11858,13145,4777,0
X006630,19660,20626,20086,21528,21751,21120,1
X006631,71676,72077,67075,68606,69401,2879,0
X006632,4517,6954,822,6542,5100,7725,0
X006633,43376,44385,45318,46286,51226,50227,0
X006634,24982,0,0,6430,15232,24942,0
X006635,7843,7459,6761,5165,3530,420,0
X006636,15096,14655,15661,17906,17336,18467,1
X006637,57693,56353,60356,61167,62280,61117,0
X006638,50721,8718,6260,7009,7968,8578,0
X006639,0,0,0,8065,0,0,0
X006640,0,411,948,507,0,1362,1
X006641,130758,132522,129628,129913,125474,124874,1
X006642,135300,130015,78997,6763,6680,6727,0
X006643,137311,141719,151075,151949,164339,161513,0
X006644,14806,17526,16934,17274,17901,18946,0
X006645,47042,48486,49475,17637,19410,18627,0
X006646,27917,28927,30049,30509,31309,3130.9,1
X006647,130773,134891,130444,131963,131960,124271,0
X006648,11492,11043,12833,12359,13610,13338,0
X006649,3169,8317,0,0,1816,2718,0
X006650,8157,7856,7420,7462,7554,7587,0
X006651,47345,48794,49844,27744,84789,27778,0
X006652,107199,109551,111883,111820,111797,111813,0
X006653,219885,223516,206606,275845,163213,164836,0
X006654,47075,38711,31972,25809,20139,19560,0
X006655,204325,106402,109767,111415,114782,40173.7,0
X006656,4151,11074,3875,-755,6352,16828,0
X006657,0,2873,1931,1900,0,4748,0
X006658,17322,16855,17724,17445,17721,18107,0
X006659,27705,27667,27647,25864,25358,22589,0
X006660,6856,7575,5396,3717,3888,0,0
X006661,4124,5142,5962,7059,8086,0,0
X006662,42725,46087,10756,1624,22,4111,0
X006663,6390,0,0,46389,0,0,1
X006664,145540,147323,143548,133406,136448,140059,0
X006665,805,11508,0,0,0,0,0
X006666,40405,3801,1365,4097,7664,11286,0
X006667,45528,44641,44914,32561,49865,29049,1
X006668,39878,37551,38439,37271,39224,36102,0
X006669,42183,44251,64076,33452,34145,34967,0
X006670,47677,38265,39307,21018,360,285,0
X006671,111734,12498,13856,12094,0,0,0
X006672,362,387,245,1517,852,404,0
X006673,682,595,3632,5764,5574,5580,0
X006674,27019,27814,21614,22710,22210,22961,0
X006675,20971,27527,9196,6790,8036,9059,0
X006676,0,0,458,15,571,3434,0
X006677,99380,99594,100043,101115,101167,103198,0
X006678,17134,15798,16211,16548,16082,16003,0
X006679,16492,17327,18341,18594,19186,19664,0
X006680,4440,1920,1378,5756,5589,0,0
X006681,88039,88969,90610,89241,91149,95171,0
X006682,77788,79911,81926,73852,75499,77268,0
X006683,12629,12150,12778,13052,13293,2791.53,0
X006684,4777,9688,9330,9658,10472,10225,0
X006685,5412,11806,17374,8291,20378,9779,0
X006686,140844,143748,55438,56749,57950,59222,0
X006687,124789,126720,121908,89675,53452,36231,1
X006688,215463,210757,213805,208819,213111,217406,1
X006689,15489,14844,10919,11467,1489,0,0
X006690,21611,1437,19794,19662,16724,13283,0
X006691,153694,150592,153140,152010,151505,151979,0
X006692,47305,45590,47605,48613,49444,50367,0
X006693,0,164,10067,10116,10429,0,0
X006694,18907,2600,182168,173890,160486,147163,0
X006695,6637,7836,8764,8866,8915,9222,0
X006696,1353,2318,0,924,0,15,0
X006697,60563,49010,31295,15529,9932,0,0
X006698,37087,36819,10181,10627,15250,19933,0
X006699,51551,9859,3468,961,-819,-892,0
X006700,0,0,728,0,0,0,0
X006701,88351,89760,92016,71201,69833,71000,0
X006702,17162,18585,20263,20662,21074,21754,0
X006703,71315,69663,67935,68483,67442,56187,1
X006704,25136,26279,28129,29055,29148,24063,0
X006705,126457,128229,75477,76851,6109,27130,0
X006706,60018,50850,44885,37119,38220,28718,0
X006707,-277,-170,0,6144,0,0,0
X006708,17760,19054,19739,19479,14612,680,0
X006709,26039,29021,28249,28639,29070,30408,0
X006710,64963,29563,29791,29048,28380,16518,0
X006711,78272,76240,36144,30105,30357,30242,0
X006712,6080,4695,5738,1413,1322,1880,0
X006713,104509,96429,81328,66492,65064,66889,0
X006714,26694,28804,48550,42282,41343,1674,0
X006715,299,460,439,307,348,866,0
X006716,0,812,539,3615,1907,7287,0
X006717,300461,265736,245444,249427,240556,246467,0
X006718,19392,20074,16648,9617,5454,9770,0
X006719,69509,69819,64304,50450,44849,76042,0
X006720,11362,9756,2549,10225,7292,802.12,1
X006721,296281,290819,274994,250424,250446,249896,0
X006722,162413,164033,141294,99076,101677,101338,0
X006723,10417,69440,23529,105112,47491,73558,0
X006724,73504,71871,80399,58297,97151,29145.3,1
X006725,184538,182861,178315,175011,171877,168532,0
X006726,2371,4743,4643,5882,5654,6287,1
X006727,73840,72433,76987,75434,81955,80292,0
X006728,216073,189507,183872,157940,164880,168235,0
X006729,59755,47962,38682,28206,28762,29252,0
X006730,78692,60229,40289,41447,37766,19260.66,1
X006731,1817,967,353,1163,82,246,0
X006732,53381,47779,50086,0,0,0,0
X006733,31546,32550,33638,34302,34886,35483,0
X006734,18689,18484,18737,19220,19325,19981,0
X006735,2212,5601,60156,45217,40984,17011,0
X006736,396,3030,3922,6204,5815,383,0
X006737,27797,28226,28268,28561,29307,29721,0
X006738,0,3697,0,0,37,0,0
X006739,0,0,0,0,-81,15,1
X006740,9422,9364,9998,10027,9739,10072,0
X006741,0,0,0,0,0,0,0
X006742,28971,34217,35576,36944,37179,38035,0
X006743,67924,65265,64726,65826,63734,65149,0
X006744,46909,42664,33801,20540,19480,19347,0
X006745,7851,9011,7739,8577,8899,6836,0
X006746,40667,43020,44196,45433,46757,47974,0
X006747,43873,44506,30011,30090,0,0,0
X006748,4782,952,373,1322,1117,1971,0
X006749,11750,13261,13988,14246,14677,14950,0
X006750,77253,84730,82130,83199,87966,86546,0
X006751,22424,23394,23862,24729,24182,12816.46,0
X006752,22580,19633,20685,20670,21096,22503,0
X006753,30676,28767,30451,27532,25716,25179,0
X006754,16975,16718,16102,16450,15681,5488.35,1
X006755,17629,18341,19317,19831,20339,20888,0
X006756,982,-7256,8308,6724,8401,8248,1
X006757,5675,0,0,0,0,0,0
X006758,25144,22370,0,505,25344,24897,0
X006759,128245,131236,133961,136595,145211,142656,0
X006760,100632,103023,108256,108626,94432,178029,0
X006761,50673,51242,47349,7954,-1878,27609,0
X006762,0,0,0,0,941,785,0
X006763,0,0,0,0,0,0,0
X006764,2574,31,3452,3793,4467,58,0
X006765,4236,19940,11491,0,0,0,0
X006766,86132,83635,80637,79892,58654,14522,0
X006767,210453,216599,196214,200116,204231,208446,0
X006768,63190,64501,65793,69671,80118,83648,1
X006769,7074,2306,4228,25072,76822,25118,0
X006770,45518,43371,27177,19570,19172,17240,0
X006771,11380,12478,12094,7465,10808,11350,0
X006772,19595,20043,19467,0,0,103,0
X006773,45944,47060,48288,0,49428,48404,0
X006774,491333,488578,485473,360903,338615,123745,1
X006775,692,49098,11000,0,0,0,0
X006776,16745,21509,22407,22605,24313,20230,0
X006777,78900,77819,45902,29576,29827,30179,0
X006778,0,0,0,0,0,0,0
X006779,29666,24346,18201,16973,37352,34888,0
X006780,286785,280692,284529,237212,211256,208487,0
X006781,150896,52442,50778,46650,40503,37266,0
X006782,105464,133662,118344,33997,79827,19630,0
X006783,48118,53139,62954,64162,65077,50674,0
X006784,28132,30464,29627,31683,31166,35438,1
X006785,1259,1411,552,374,269,539,0
X006786,0,0,0,0,0,0,0
X006787,84106,85828,86244,87092,88870,92417,0
X006788,40138,41501,42964,43985,45208,46378,0
X006789,13609,18037,15676,10600,0,0,0
X006790,46226,14066,15079,7619,7859,8046,0
X006791,48,3933,5928,0,0,0,0
X006792,-45,-387,-894,843,789,0,0
X006793,38028,34432,32561,28448,29159,30084,0
X006794,182152,162553,140915,111977,78757,78818,0
X006795,43121,6134,3734,22709,21353,9274,0
X006796,391,0,0,0,0,0,0
X006797,27668,30750,29841,30548,0,0,0
X006798,173658,167863,100330,88668,240,-292,0
X006799,81949,83417,77170,78718,75199,77164,0
X006800,26102,25275,26287,26895,28641,8878.71,0
X006801,15037,17101,17455,17893,18406,19168,0
X006802,268,453,456,781,340,305,0
X006803,173194,131061,132189,145090,152534,155987,0
X006804,26350,26471,-240,-167,-123,-263,0
X006805,0,0,0,0,0,0,0
X006806,25220,24359,5088,6090,5778,4723,0
X006807,97711,50917,-177,-245,-220,141,0
X006808,27905,27534,27989,16132,857,787,0
X006809,124098,118229,111862,107493,90488,86448,0
X006810,2312,6060,8410,5349,1540,4920,0
X006811,7842,7712,8534,8974,9825,3352,0
X006812,3576,16666,33411,28565,35576,23330,0
X006813,-243,28031,47177,121029,87300,106579,0
X006814,62920,63985,64793,66082,67369,69112,0
X006815,61148,62701,62503,59037,49441,38079,0
X006816,234664,0,0,0,0,0,0
X006817,22082,51813,113149,106746,30199,-1277,0
X006818,13995,14315,13270,17606,14870,11206,0
X006819,31804,34585,31714,127358,129423,128697,0
X006820,37192,38537,40076,40904,41987,43132,0
X006821,183642,172317,175803,180891,184636,9231.8,1
X006822,409,372,296,1026,1010,335,0
X006823,126728,132702,124709,105517,106667,97817,0
X006824,112480,105180,97067,88158,88502,8850.2,0
X006825,29284,28771,29947,30439,29100,29322,0
X006826,2195,3280,439,2543,0,0,0
X006827,106610,111649,112161,108155,109882,107328,0
X006828,37322,41662,40743,44046,46552,45690,1
X006829,13161,12816,12223,11859,11389,14174,1
X006830,173564,176267,179826,182084,175020,178264,1
X006831,84150,84374,62414,48132,29908,15612,0
X006832,42608,43700,44677,45017,45738,46224,0
X006833,50672,51408,48122,43928,44736,45738,0
X006834,9862,9245,9146,10003,9586,10002,0
X006835,961,986,0,0,0,0,0
X006836,8045,6582,739,14670,873,-3927,0
X006837,59246,58791,54850,40031,40053,37656,0
X006838,17120,19459,19007,19042,17952,7180.8,0
X006839,73954,76492,77511,78673,80350,81803,0
X006840,5236,87057,37179,24449,77761,61036,0
X006841,-4208,-4326,-4566,-4682,-5751,-5782,0
X006842,3790,2952,1105,2638,3138,969,0
X006843,15534,16499,15996,17042,16706,18383,0
X006844,48895,48730,20124,20039,421,493,0
X006845,110579,107411,97090,86290,87346,81667,0
X006846,99551,100492,103560,107467,103967,100188,0
X006847,401,415,381,309,1987,2656,0
X006848,92057,120354,142699,101944,103114,84841,0
X006849,13585,13019,3039,4195,1793,-617,0
X006850,67658,58902,57643,45601,46293,46739,0
X006851,281600,283327,281239,189315,185489,184467,0
X006852,20635,21435,22275,22520,22163,13297.8,0
X006853,169843,172700,176597,180216,184125,188178,0
X006854,5380,6257,140739,143424,146272,61434.24,0
X006855,133361,134844,131124,140076,138314,146062,1
X006856,-146,-271,-121,-206,-222,-121,0
X006857,4943,7397,4458,3177,3937,4309,0
X006858,978,2095,2190,2286,2318,2370,0
X006859,25544,27010,27938,29696,30154,29726,0
X006860,26116,26548,24620,25758,26770,25929,0
X006861,87731,78979,59874,60673,62510,63984,0
X006862,131225,128835,129160,125961,112530,104475,0
X006863,111198,114010,116289,117858,120296,124251,0
X006864,53050,55988,54347,-582,20166,19910,0
X006865,192292,201316,444487,418235,424302,383090,0
X006866,5824,6751,7744,8415,10260,10943,0
X006867,145086,136322,103644,101122,106435,92419,0
X006868,47319,48123,23410,16248,17811,18211,0
X006869,6623,9495,0,0,11414,6664,0
X006870,103291,111540,79405,75507,72577,69586,0
X006871,52019,50439,42641,9987,9780,9905,0
X006872,5674,14754,42911,4610,12057,13983,0
X006873,53773,2026,2474,4683,2446,2443,0
X006874,10918,12224,12837,13719,13416,13780,0
X006875,2975,0,304,416,311,0,1
X006876,30572,30320,29145,29976,26394,12405.18,0
X006877,40227,23089,12205,34400,36741,-65,0
X006878,52080,52119,46736,47544,45090,48262,0
X006879,64405,64928,66849,36435,37515,37703,0
X006880,2298,-105,2312,2861,0,0,0
X006881,69416,70186,70160,30437,28313,28804,0
X006882,26263,0,0,258,230,2805,0
X006883,144409,146301,149285,152603,155875,159349,0
X006884,2930,0,0,2909,9022,52293,0
X006885,96910,96156,93394,93971,99450,96601,1
X006886,6869,8071,11755,10125,18032,0,0
X006887,313,343,835,1078,989,403,0
X006888,49064,50893,49754,20227,20295,19841,0
X006889,26050,993,74,229,-637,-340,0
X006890,7085,4581,4026,2167,2694,3470,0
X006891,48792,42623,34506,38752,40992,40799,0
X006892,48107,49363,51783,52608,55433,55087,0
X006893,2419,2919,646,4146,2946,1407,0
X006894,390547,382916,365402,304517,311387,275607,0
X006895,46853,47803,48644,49495,50601,51451,0
X006896,56614,23864,29460,37858,-3417,-3905,0
X006897,13366,14246,13705,14021,15617,0,0
X006898,60385,61707,63101,64617,66395,68119,0
X006899,133899,134465,133794,130847,130686,123419,0
X006900,0,0,0,0,0,0,0
X006901,5047,4267,1401,10383,5986,62223,0
X006902,293618,291430,3681,3274,10630,2901,0
X006903,4029,6022,5940,3943,9124,4037,0
X006904,0,115,0,84,-306,1193,1
X006905,107297,101172,101732,15167,2217,7352,0
X006906,50540,22794,25101,12845,18652,3543.88,1
X006907,2694,2026,2107,1982,0,0,0
X006908,1480,26131,0,2563,3378,2812,0
X006909,8384,6197,33244,8965,1714,23208,0
X006910,23203,24115,28405,28848,29523,30026,1
X006911,181378,181172,180479,182967,181338,179771,0
X006912,140083,140411,141227,141022,142326,143292,0
X006913,630460,646865,693046,324484,358697,369634,0
X006914,59870,35291,22893,22162,19448,16606,0
X006915,62997,67055,75844,74029,72815,76328,1
X006916,7680,6641,6540,6540,6650,6589,0
X006917,6859,9125,8726,10034,10084,5546.2,1
X006918,273198,279359,273256,277211,285014,96904.76,1
X006919,241467,244653,127038,-50,124507,128473,0
X006920,38631,38874,39762,40045,37593,38295,0
X006921,0,0,3303,0,0,2744,1
X006922,2131,1487,53652,1019,20868,1218,0
X006923,49,16519,1955,5309,0,375,0
X006924,3553,9082,4160,7160,8090,8671,0
X006925,45779,14700,9722,8861,10110,9892,0
X006926,0,0,0,0,0,0,0
X006927,60267,65044,63361,62281,64514,38708.4,0
X006928,24508,23710,11688,11837,11087,11306,0
X006929,112917,117002,107877,96631,95472,97315,0
X006930,18257,17473,19829,19507,16260,14362,0
X006931,0,0,0,0,0,1460,0
X006932,127014,132659,102618,108999,117183,120997,0
X006933,4277,60446,30652,154178,13348,25459,1
X006934,50697,50048,18910,18471,16899,18317,0
X006935,222,3787,5562,69544,76220,72590,0
X006936,90896,94501,93631,95068,89015,-23635,0
X006937,87276,90270,37648,7530,1006,1499,0
X006938,112108,115309,112004,118753,120777,123621,0
X006939,-108,-188,-297,6692,1767,1518,0
X006940,15515,2504,13953,2502,15605,3021,0
X006941,18547,20362,22625,20884,25648,28823,0
X006942,2721,12471,3132,1800,30532,4530,0
X006943,0,0,0,0,0,0,1
X006944,3379,4275,2241,5363,2303,10013,0
X006945,1301,2173,1459,376,414,0,1
X006946,1640,2516,1888,1451,410,12,1
X006947,2302,2645,36,855,699,724,1
X006948,56829,58123,59299,60356,61575,0,0
X006949,11195,7981,16553,13291,73877,34857,0
X006950,82091,0,0,0,0,0,0
X006951,42013,42728,45913,46844,45930,48645,0
X006952,5283,6235,6148,6223,7110,7539,1
X006953,176706,177487,178657,138314,138053,137879,0
X006954,62257,62810,56768,47143,46018,47558,0
X006955,0,0,0,0,0,0,0
X006956,6578,8940,22231,9884,10076,23869,0
X006957,0,0,0,675,39249,34904,0
X006958,67750,51440,35237,13430,8520,6165,1
X006959,36435,2065,386,0,1354,4662,0
X006960,8153,10033,13011,0,483,0,0
X006961,48572,49672,47524,20913,19702,20339,0
X006962,64528,62918,64804,68112,66866,71084,0
X006963,318,726,640,1408,0,313,1
X006964,241206,204262,151322,138065,109042,106055,1
X006965,56182,0,0,0,13038,0,0
X006966,49352,49457,29594,29946,30148,30262,0
X006967,0,0,0,0,0,0,0
X006968,43019,44347,45267,46398,55466,56530,0
X006969,6288,8010,8422,8682,9001,2250.25,0
X006970,0,0,0,0,4643,185,0
X006971,402,3570,525,12911,92627,94256,0
X006972,16039,0,-1878,5930,6831,8264,0
X006973,1866,2150,1117,1439,1053,63,0
X006974,53931,54085,52036,51800,50754,47879,0
X006975,12893,14211,13055,14689,12732,14097,0
X006976,92615,92823,80764,80793,75466,76632,0
X006977,29162,28536,28586,27473,27637,0,0
X006978,6308,59403,26533,15392,9923,4194,0
X006979,915,921,0,482,653,294,0
X006980,49518,50592,53554,104550,54257,25399,0
X006981,44610,45830,46860,48002,49368,50281,0
X006982,1847,282,414,465,242,1661,0
X006983,7782,4089,10172,5872,3307,4280,0
X006984,348,835,255,0,0,0,0
X006985,6019,6634,2873,11004,10504,9052,1
X006986,50674,50520,49104,20013,19969,20288,0
X006987,3155,1306,999,-156,1476,1345,0
X006988,59776,24983,25988,26517,30867,30420,0
X006989,48063,46974,46737,28401,29060,6974.4,1
X006990,52700,51224,57609,55953,60165,61282,0
X006991,5069,5533,6209,7202,8039,9012,0
X006992,340,327,368,405,309,286,0
X006993,0,3439,13629,997,7775,5615,0
X006994,0,0,0,0,0,0,0
X006995,407450,415306,384181,343292,320436,328806,0
X006996,16019,17195,18683,19054,18523,19329,0
X006997,38470,38368,36973,38428,12991,13636,0
X006998,551,513,491,565,3427,2797,0
X006999,30317,37072,14258,9895,4126,6112,0
X007000,47420,46343,38019,17024,17628,18426,1
X007001,20811,21872,23169,13302,2991,3179,0
X007002,2372,5182,8271,35110,10851,7116,0
X007003,48476,49228,50132,51177,52195,51035,0
X007004,12161,0,0,0,0,0,0
X007005,27348,864,884,2134,1110,1635,0
X007006,101599,101548,97678,70941,70111,71109,0
X007007,0,0,0,1319,1447,0,0
X007008,37998,39111,38477,39145,39951,40824,0
X007009,16218,16883,18267,18510,19793,19182,0
X007010,6872,7946,8759,8868,9053,9284,0
X007011,4261,600,10487,10096,537,1693,0
X007012,11136,12348,11771,25850,8071,8421,0
X007013,4316,3187,2705,8710,5056,8730,0
X007014,37266,35393,26223,19461,13290,11333,0
X007015,2356,40838,1980,330,4931,5605,0
X007016,93725,101861,76415,20928,50445,61586,0
X007017,14564,16601,18979,21354,27175,26845,0
X007018,19851,18146,17602,16522,13468,10302,0
X007019,43103,43546,41029,40663,40606,27552,0
X007020,18946,20172,18004,19509,19379,17585,0
X007021,55337,56535,55509,50423,45254,46324,0
X007022,180976,181860,160018,138416,112338,112061,0
X007023,59500,60890,61780,65071,63754,64964,1
X007024,50067,54130,49489,18703,33296,32538,0
X007025,22322,24652,28592,29993,30746,39152,0
X007026,106854,71164,25329,8853,3712,1893.12,1
X007027,269929,262614,248013,232882,217879,202187,0
X007028,153274,136090,115738,93344,55364,11256,0
X007029,64026,64838,69178,67508,71871,73697,1
X007030,-478,-528,-533,8557,17443,0,0
X007031,38139,38785,39434,39959,40238,40727,0
X007032,16218,7925,18060,4246,2187,541,0
X007033,52761,50437,26005,27392,19990,16883,0
X007034,28367,29068,29649,29639,29706,0,0
X007035,48084,49276,50536,23983,24413,25033,0
X007036,408,0,0,0,0,0,0
X007037,396,535,4160,885,263,276,0
X007038,112553,112723,115282,119590,119017,121690,0
X007039,0,8670,0,957,981,115,0
X007040,1864,4036,3488,1742,418,6682,0
X007041,39761,61642,52301,27795,28989,11882,0
X007042,31351,30795,20479,19373,18451,19998,0
X007043,-3,400,440,401,-232,-454,0
X007044,42603,43574,44434,40230,46593,47364,0
X007045,426,599,574,517,573,0,0
X007046,11030,5267,20928,6982,37247,28873,0
X007047,9655,9368,11352,10794,12074,13949,0
X007048,0,2410,0,0,0,0,0
X007049,314625,321939,327239,333263,340817,347983,0
X007050,2644,8229,3642,991,6481,0,0
X007051,217070,204370,204408,146572,144524,147912,0
X007052,866,0,-1557,778,0,0,0
X007053,36042,21816,411,511,2903,1987,1
X007054,25777,25097,25421,23837,21662,20328,1
X007055,49903,49564,48415,30367,30314,28870,0
X007056,30502,26899,21079,21333,22988,22499,0
X007057,48212,48889,47779,51439,50439,51330,1
X007058,35626,25097,10569,7153,7326,19,0
X007059,4250,2205,5629,4019,4986,15342,0
X007060,40091,38335,34432,33974,33222,31906,0
X007061,11922,13015,14866,14359,14692,14893,0
X007062,16473,15561,16642,16900,18190,18370,0
X007063,193273,191335,176815,164752,162012,154108,0
X007064,19651,20475,16479,1628,0,0,0
X007065,47061,48463,47153,20460,20653,4130.6,0
X007066,8310,10084,11170,11416,10291,11227,0
X007067,0,0,3854,3886,2882,2351,0
X007068,799,792,823,676,2450,2085,0
X007069,106576,100823,86715,78411,67565,55115,1
X007070,112191,109587,49018,20306,18737,19412,0
X007071,28021,31247,31609,30775,34478,35024,1
X007072,95840,97435,94078,92804,68144,53164,0
X007073,-717,-796,975,2066,2027,0,0
X007074,124777,126966,128470,129774,132493,135291,1
X007075,903,9333,85912,33312,33172,32960,0
X007076,31266,36013,24810,30089,26983,25959,0
X007077,61794,60410,38933,40380,40188,39935,0
X007078,25458,26100,25370,25701,0,0,0
X007079,180961,186401,188577,192170,195794,198566,0
X007080,2244,263,4482,1174,4063,1979,0
X007081,348087,311272,365625,370462,374482,373060,0
X007082,136270,183581,184741,195062,195234,192436,1
X007083,16143,15675,13920,13306,0,0,1
X007084,6772,6473,6720,1758,149194,145657,0
X007085,206778,207528,152438,146699,146222,146232,0
X007086,0,0,0,0,0,0,0
X007087,0,0,0,0,0,0,0
X007088,6506,971,0,0,912,480,0
X007089,104390,106718,104140,88315,90329,88788,0
X007090,95934,87291,85334,81633,82392,80865,0
X007091,114496,117149,116029,116929,117267,116941,0
X007092,17261,20113,19447,19738,20560,20927,1
X007093,32101,29032,23173,20286,7499,4876,1
X007094,313286,313077,317941,313915,312056,319684,0
X007095,75618,44622,-237,-187,-208,-177,0
X007096,4648,6407,8321,13126,14851,11523,0
X007097,-182,-198,-324,1173,787,1074,0
X007098,364,368,324,15153,19633,24021,0
X007099,85273,86870,88859,35751,36991,39001,0
X007100,162531,122423,66024,67954,69768,71671,0
X007101,108940,109675,108688,108147,108974,109922,0
X007102,1316,1895,387,467,307,244,0
X007103,41722,43354,31545,1557,1495,3842,0
X007104,47274,34568,34287,36163,33003,18871,0
X007105,20679,20654,10097,20742,9917,10045,0
X007106,48621,48587,15393,14987,10557,10662,0
X007107,0,0,0,0,0,0,0
X007108,247,893,909,0,0,0,0
X007109,2917,0,0,0,0,136,0
X007110,28415,29940,29523,30753,25733,26529,0
X007111,68834,43456,61711,88435,60005,44922,0
X007112,193481,202330,199472,147056,162255,107413,0
X007113,1867,-595,2565,1546,56642,58112,0
X007114,32193,33773,34797,34025,32844,16652,0
X007115,21869,21872,25498,28022,34526,43865,0
X007116,86614,82555,77447,70618,22558,23678,0
X007117,119307,119308,120490,71030,0,0,0
X007118,11442,27674,26661,27373,25317,0,0
X007119,124614,128328,129724,130985,128891,131553,0
X007120,29020,0,4151,37030,20137,22298,0
X007121,1219,593,0,161,0,0,0
X007122,164138,167687,172009,175167,180656,183207,0
X007123,185289,180551,131345,131912,115172,75213,0
X007124,308014,327327,206810,1781,1357,1485,0
X007125,137086,127825,124717,73572,73309,38120.68,0
X007126,142239,141038,140339,140526,140355,140714,0
X007127,1644,1379,964,2726,1066,0,0
X007128,33093,97970,48080,49489,40064,54092,0
X007129,8731,10973,22701,10184,6024,4230,1
X007130,308382,315587,318656,243674,248838,254068,0
X007131,16280,17300,19919,22344,23943,23527,0
X007132,189204,195260,60285,58874,55774,99837,0
X007133,160369,153918,129691,102981,54457,46903,0
X007134,36997,52925,52117,32789,32190,30468,0
X007135,37992,39210,38196,43339,41933,40944,0
X007136,1484,5356,1571,5849,1257,990,0
X007137,118052,120478,123031,124943,127371,130093,0
X007138,47313,49319,50275,51140,52083,53297,0
X007139,55161,52352,46991,15793,13631,15208,0
X007140,7799,8586,8192,6945,2259,0,0
X007141,93977,96298,97537,79957,80604,77391,0
X007142,0,874,3332,4389,1551,0,0
X007143,48484,46328,46745,29711,29989,29497,0
X007144,19720,20706,21966,24233,23751,13538.07,1
X007145,96546,98473,100012,100584,103384,101389,1
X007146,24450,27283,26514,26899,28747,29033,0
X007147,199843,204479,208757,213082,211816,96607,0
X007148,3795,2834,1607,4625,5821,7047,0
X007149,0,0,0,0,0,0,0
X007150,2476,1091,968,1232,1141,1435,0
X007151,1238,734,1862,446,1940,1030,0
X007152,28065,32374,39783,37282,35297,34127,0
X007153,74244,75697,76098,76239,77015,77791,0
X007154,144771,147850,116551,114483,0,0,0
X007155,27220,30375,29532,32359,33140,32514,0
X007156,9556,1647,0,0,0,0,0
X007157,49226,47192,84003,18869,16542,19151,0
X007158,0,0,0,0,0,0,0
X007159,63252,64319,55091,56333,57581,58638,0
X007160,9153,13924,7790,8290,7203,4336,0
X007161,20792,22143,22788,22779,26613,23014,0
X007162,177971,108106,15743,11358,9296,9750,1
X007163,89891,91853,88488,88043,87754,87788,0
X007164,14184,14786,16216,16455,16850,17035,0
X007165,-71,-53,-87,-66,0,-488,1
X007166,2004,947,1051,1027,1127,69206,0
X007167,262,8599,121961,116060,114263,118002,0
X007168,3004,658,1146,2587,560,672,0
X007169,28674,28719,0,0,0,0,1
X007170,10486,0,0,0,0,0,1
X007171,0,0,0,0,0,0,0
X007172,5049,195,2110,1033,0,0,0
X007173,36845,38819,35072,36112,0,0,0
X007174,4039,2885,3132,481,454,380,0
X007175,25370,24999,22981,22905,21237,21523,0
X007176,1145,2187,2124,2934,2424,3591,0
X007177,332075,327336,324404,316481,317449,314172,0
X007178,0,0,0,0,0,0,1
